,filename,animal_type,animal
0,e030b20928e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,4,scoiattolo
1,e030b20929e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,1,farfalla
2,e030b2092be90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,1,farfalla
3,e030b2092ce90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,1,farfalla
4,e030b2092de90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,1,farfalla
5,e030b20a20e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,1,farfalla
6,e032b10b2df21c22d2524518b7444f92e37fe5d404b0144390f8c07aa5ecb6_640.jpg,0,elefante
7,e032b5082ef61c22d2524518b7444f92e37fe5d404b0144390f8c078a0eabd_640.jpg,3,pecora
8,e034b80f2ff61c22d2524518b7444f92e37fe5d404b0144390f8c078a0eabd_640.jpg,4,scoiattolo
9,e037b00b2af41c22d2524518b7444f92e37fe5d404b0144390f8c078a0eabd_640.jpg,3,pecora
10,e130b5072af71c22d2524518b7444f92e37fe5d404b0144390f8c078a0eabd_640.jpg,0,elefante
11,e130b80b2ef11c22d2524518b7444f92e37fe5d404b0144390f8c07aa4e5b0_640.jpg,0,elefante
12,e131b0072ee90021d85a5854ee454296eb70e3c818b413449df1c27ba6ee_640.jpg,0,elefante
13,e132b10a2bf51c22d2524518b7444f92e37fe5d404b0144390f8c07aa4e5b0_640.jpg,0,elefante
14,e132b30e20f01c22d2524518b7444f92e37fe5d404b0144390f8c078a1ebb2_640.jpg,4,scoiattolo
15,e132b60e2af51c22d2524518b7444f92e37fe5d404b0144390f8c770a3e5b7_640.jpg,4,scoiattolo
16,e133b10d2bf21c22d2524518b7444f92e37fe5d404b0144390f8c07aa4e5b0_640.jpg,0,elefante
17,e133b5062cf71c22d2524518b7444f92e37fe5d404b0144390f8c07aa4e5b0_640.jpg,0,elefante
18,e133b50c20f01c22d2524518b7444f92e37fe5d404b0144390f8c078a0eabd_640.jpg,2,mucca
